t,S_wR_kgR,S_wR_kgL,S_wR_ka,S_wR_Kf,S_wR_Kq,S_wL_kgR,S_wL_kgL,S_wL_ka,S_wL_Kf,S_wL_Kq
0.09,0.0028762284174078593,0.0,-0.002996606549395691,-0.0227841853248025,-5.6487076832348924e-05,0.0,-0.0028762284174078593,0.002996606549395691,0.0227841853248025,5.6487076832348924e-05
0.095,0.0030268127929515562,0.0,-0.0033338070255947688,-0.025213291774815533,-6.934850462037182e-05,0.0,-0.0030268127929515562,0.0033338070255947688,0.025213291774815533,6.934850462037182e-05
0.1,0.00317676329083777,0.0,-0.0036875959055891147,-0.027735566433807205,-8.413721049694028e-05,0.0,-0.00317676329083777,0.0036875959055891147,0.027735566433807205,8.413721049694028e-05
0.105,0.0033261245882035034,0.0,-0.0040578273361146335,-0.030347010748969186,-0.00010099956913614387,0.0,-0.0033261245882035034,0.0040578273361146335,0.030347010748969186,0.00010099956913614387
0.11,0.0034749391754918366,0.0,-0.004444364422974907,-0.03304374355175628,-0.00012008123075092463,0.0,-0.0034749391754918366,0.004444364422974907,0.03304374355175628,0.00012008123075092463
0.115,0.0036232472684129425,0.0,-0.004847078487499988,-0.03582200368876427,-0.0001415267398260868,0.0,-0.0036232472684129425,0.004847078487499988,0.03582200368876427,0.0001415267398260868
0.12,0.0037710867526951517,0.0,-0.005265848338153797,-0.038678151493922966,-0.00016547920630434793,0.0,-0.0037710867526951517,0.005265848338153797,0.038678151493922966,0.00016547920630434793
0.125,0.003918493157787518,0.0,-0.005700559564916337,-0.04160866927070098,-0.0001920800246856467,0.0,-0.003918493157787518,0.005700559564916337,0.04160866927070098,0.0001920800246856467
0.13,0.004065499655791921,0.0,-0.006151103862439393,-0.044610160937923034,-0.00022146863662331437,0.0,-0.004065499655791921,0.006151103862439393,0.044610160937923034,0.00022146863662331437
0.135,0.004212137082080929,0.0,-0.006617378386512664,-0.047679350977469476,-0.0002537823327823949,0.0,-0.004212137082080929,0.006617378386512664,0.047679350977469476,0.0002537823327823949
0.14,0.004358433974279498,0.0,-0.007099285147087048,-0.05081308280703904,-0.00028915608994807427,0.0,-0.004358433974279498,0.007099285147087048,0.05081308280703904,0.00028915608994807427
0.145,0.004504416626539027,0.0,-0.0075967304399818785,-0.054008316686661714,-0.0003277224396215015,0.0,-0.004504416626539027,0.0075967304399818785,0.054008316686661714,0.0003277224396215015
0.15,0.004650109156298648,0.0,-0.008109624318446954,-0.05726212725399471,-0.00036961136460458155,0.0,-0.004650109156298648,0.008109624318446954,0.05726212725399471,0.00036961136460458155
0.155,0.004795533581000831,0.0,-0.00863788010494796,-0.06057170077077795,-0.0004149502203453303,0.0,-0.004795533581000831,0.00863788010494796,0.06057170077077795,0.0004149502203453303
0.16,0.0049407099024984585,0.0,-0.009181413942883342,-0.06393433215125485,-0.00046386367808395835,0.0,-0.0049407099024984585,0.009181413942883342,0.06393433215125485,0.00046386367808395835
