# r_R = 0.03
# r_L = 0.03
# l = 0.08
# kg_R = 25.0
# kg_L = 25.0
# ka = 0.5
# kf = 0.15
# kq = 0.02
# alpha = 8.0
# beta = 8.0
time,x,y,theta,omega_R,omega_L,u_R,u_L
0.0,0,0,0,0,0,0.034088888880823696,-0.034088888880823696
0.005,0.0,0.0,7.989583331443053e-06,0.004261111110102962,-0.004261111110102962,0.034088888880823696,-0.034088888880823696
0.01,0.0,0.0,2.3900856980003967e-05,0.00848601261256582,-0.00848601261256582,0.034088888880823696,-0.034088888880823696
0.015,0.0,0.0,4.7666613612452815e-05,0.012675070203972717,-0.012675070203972717,0.034088888880823696,-0.034088888880823696
0.02,0.0,0.0,7.92204283217092e-05,0.01682870117827007,-0.01682870117827007,0.034088888880823696,-0.034088888880823696
0.025,0.0,0.0,0.00011849674743293295,0.020947370192652665,-0.020947370192652665,0.034088888880823696,-0.034088888880823696
0.03,0.0,0.0,0.0001654309689729388,0.025031584821336456,-0.025031584821336456,0.034088888880823696,-0.034088888880823696
0.035,0.0,0.0,0.0002199595145599065,0.029081890979716106,-0.029081890979716106,0.034088888880823696,-0.034088888880823696
0.04,0.0,0.0,0.00028201989261511246,0.03309886829610984,-0.03309886829610984,0.034088888880823696,-0.034088888880823696
0.045,0.0,0.0,0.00035155075293036796,0.037083125501469597,-0.037083125501469597,0.034088888880823696,-0.034088888880823696
0.05,0.0,0.0,0.00042849193274198584,0.041035295899529534,-0.041035295899529534,0.034088888880823696,-0.034088888880823696
0.055,0.0,0.0,0.0005127844945631884,0.04495603297130805,-0.04495603297130805,0.034088888880823696,-0.034088888880823696
0.06,0.0,0.0,0.0006043707561114146,0.048846006159053934,-0.048846006159053934,0.034088888880823696,-0.034088888880823696
0.065,0.0,0.0,0.000703194312735108,0.052705896865969784,-0.052705896865969784,0.034088888880823696,-0.034088888880823696
0.07,0.0,0.0,0.0008092000527969091,0.05653639469962726,-0.05653639469962726,0.034088888880823696,-0.034088888880823696
0.075,0.0,0.0,0.0009223341665077603,0.06033819397912064,-0.06033819397912064,0.034088888880823696,-0.034088888880823696
0.08,0.0,0.0,0.0010425441487305802,0.06411199051883729,-0.06411199051883729,0.034088888880823696,-0.034088888880823696
0.085,0.0,0.0,0.001169778796284366,0.06785847869535235,-0.06785847869535235,0.034088888880823696,-0.034088888880823696
0.09,0.0,0.0,0.0013039882002814165,0.07157834879842703,-0.07157834879842703,0.034088888880823696,-0.034088888880823696
0.095,0.0,0.0,0.0014451237340234442,0.07527228466241481,-0.07527228466241481,0.034088888880823696,-0.034088888880823696
0.1,0.0,0.0,0.0015931380369681915,0.07894096157053189,-0.07894096157053189,0.034088888880823696,-0.034088888880823696
0.105,0.0,0.0,0.0017479849952582837,0.08258504442138251,-0.08258504442138251,0.034088888880823696,-0.034088888880823696
0.11,0.0,0.0,0.0019096197192797469,0.08620518614478033,-0.08620518614478033,0.034088888880823696,-0.034088888880823696
0.115,0.0,0.0,0.002077998518690125,0.08980202635220169,-0.08980202635220169,0.034088888880823696,-0.034088888880823696
0.12,0.0,0.0,0.002253078875326498,0.09337619020606562,-0.09337619020606562,0.034088888880823696,-0.034088888880823696
0.125,0.0,0.0,0.002434819414372835,0.0969282874913798,-0.0969282874913798,0.034088888880823696,-0.034088888880823696
0.13,0.0,0.0,0.0026231798741347912,0.10045891187304337,-0.10045891187304337,0.034088888880823696,-0.034088888880823696
0.135,0.0,0.0,0.0028181210747388876,0.10396864032218475,-0.10396864032218475,0.034088888880823696,-0.034088888880823696
0.14,0.0,0.0,0.0030196048860425154,0.10745803269526803,-0.10745803269526803,0.034088888880823696,-0.034088888880823696
0.145,0.0,0.0,0.0032275941950117635,0.11092763145026568,-0.11092763145026568,0.034088888880823696,-0.034088888880823696
0.15,0.0,0.0,0.003442052872795981,0.11437796148491605,-0.11437796148491605,0.034088888880823696,-0.034088888880823696
0.155,0.0,0.0,0.003662945741701447,0.11780953008291534,-0.11780953008291534,0.034088888880823696,-0.034088888880823696
0.16,0.0,0.0,0.0038902385422416945,0.12122282695479865,-0.12122282695479865,0.034088888880823696,-0.034088888880823696
0.165,0.0,0.0,0.004123897900418963,0.12461832436120987,-0.12461832436120987,0.034088888880823696,-0.034088888880823696
0.17,0.0,0.0,0.004363891295370002,0.1279964773072209,-0.1279964773072209,0.034088888880823696,-0.034088888880823696
0.17500000000000002,0.0,0.0,0.0046101870274899695,0.13135772379731617,-0.13135772379731617,0.034088888880823696,-0.034088888880823696
0.18,0.0,0.0,0.004862754187130453,0.13470248514159133,-0.13470248514159133,0.034088888880823696,-0.034088888880823696
0.185,0.0,0.0,0.005121562623951609,0.13803116630461618,-0.13803116630461618,0.034088888880823696,-0.034088888880823696
0.19,0.0,0.0,0.005386582916993986,0.14134415628926794,-0.14134415628926794,0.034088888880823696,-0.034088888880823696
0.195,0.0,0.0,0.005657786345522707,0.14464182854865135,-0.14464182854865135,0.034088888880823696,-0.034088888880823696
0.2,0.0,0.0,0.005935144860685165,0.14792454141997774,-0.14792454141997774,0.034088888880823696,-0.034088888880823696
0.20500000000000002,0.0,0.0,0.00621863105801325,0.15119263857497864,-0.15119263857497864,0.034088888880823696,-0.034088888880823696
0.21,0.0,0.0,0.006508218150792145,0.15444644948207706,-0.15444644948207706,0.034088888880823696,-0.034088888880823696
0.215,0.0,0.0,0.006803879944309896,0.15768628987613426,-0.15768628987613426,0.034088888880823696,-0.034088888880823696
0.22,0.0,0.0,0.007105590810995142,0.16091246223213085,-0.16091246223213085,0.034088888880823696,-0.034088888880823696
0.225,0.0,0.0,0.007413325666444454,0.1641252562396334,-0.1641252562396334,0.034088888880823696,-0.034088888880823696
0.23,0.0,0.0,0.0077270599463357195,0.1673249492753412,-0.1673249492753412,0.034088888880823696,-0.034088888880823696
0.23500000000000001,0.0,0.0,0.008046769584219607,0.170511806871407,-0.170511806871407,0.034088888880823696,-0.034088888880823696
0.24,0.0,0.0,0.008372430990177575,0.17368608317758305,-0.17368608317758305,0.034088888880823696,-0.034088888880823696
0.245,0.0,0.0,0.008704021030331755,0.17684802141556227,-0.17684802141556227,0.034088888880823696,-0.034088888880823696
0.25,0.0,0.0,0.009041517007189569,0.1799978543241676,-0.1799978543241676,0.034088888880823696,-0.034088888880823696
0.255,0.0,0.0,0.009384896640803869,0.1831358045942927,-0.1831358045942927,0.034088888880823696,-0.034088888880823696
0.26,0.0,0.0,0.009734138050727715,0.18626208529271857,-0.18626208529271857,0.034088888880823696,-0.034088888880823696
0.265,0.0,0.0,0.010089219738741696,0.1893769002741229,-0.1893769002741229,0.034088888880823696,-0.034088888880823696
0.27,0.0,0.0,0.010450120572330641,0.19248044458077043,-0.19248044458077043,0.034088888880823696,-0.034088888880823696
0.275,0.0,0.0,0.010816819768885986,0.1955729048295173,-0.1955729048295173,0.034088888880823696,-0.034088888880823696
0.28,0.0,0.0,0.011189296880609535,0.19865445958589245,-0.19865445958589245,0.034088888880823696,-0.034088888880823696
0.28500000000000003,0.0,0.0,0.011567531780094148,0.2017252797251272,-0.2017252797251272,0.034088888880823696,-0.034088888880823696
0.29,0.0,0.0,0.011951504646556834,0.20478552878009923,-0.20478552878009923,0.034088888880823696,-0.034088888880823696
0.295,0.0,0.0,0.01234119595269978,0.20783536327623744,-0.20783536327623744,0.034088888880823696,-0.034088888880823696
0.3,0.0,0.0,0.012736586452175094,0.21087493305350133,-0.21087493305350133,0.034088888880823696,-0.034088888880823696
0.305,0.0,0.0,0.013137657167629355,0.2139043815756059,-0.2139043815756059,0.034088888880823696,-0.034088888880823696
0.31,0.0,0.0,0.013544389379304437,0.2169238462267103,-0.2169238462267103,0.034088888880823696,-0.034088888880823696
0.315,0.0,0.0,0.013956764614171611,0.21993345859582641,-0.21993345859582641,0.034088888880823696,-0.034088888880823696
0.32,0.0,0.0,0.014374764635576428,0.22293334474923587,-0.22293334474923587,0.034088888880823696,-0.034088888880823696
0.325,0.0,0.0,0.01479837143337248,0.22592362549122758,-0.22592362549122758,0.034088888880823696,-0.034088888880823696
0.33,0.0,0.0,0.015227567214522768,0.22890441661348776,-0.22890441661348776,0.034088888880823696,-0.034088888880823696
0.335,0.0,0.0,0.015662334394148058,0.23187582913348845,-0.23187582913348845,0.034088888880823696,-0.034088888880823696
0.34,0.0,0.0,0.01610265558700224,0.23483796952222993,-0.23483796952222993,0.034088888880823696,-0.034088888880823696
0.34500000000000003,0.0,0.0,0.016548513599355427,0.23779093992169964,-0.23779093992169964,0.034088888880823696,-0.034088888880823696
0.35000000000000003,0.0,0.0,0.016999891421266202,0.24073483835241247,-0.24073483835241247,0.034088888880823696,-0.034088888880823696
0.355,0.0,0.0,0.017456772219225074,0.24366975891139858,-0.24366975891139858,0.034088888880823696,-0.034088888880823696
0.36,0.0,0.0,0.017919139329151956,0.24659579196100279,-0.24659579196100279,0.034088888880823696,-0.034088888880823696
0.365,0.0,0.0,0.01838697624973106,0.24951302430885586,-0.24951302430885586,0.034088888880823696,-0.034088888880823696
0.37,0.0,0.0,0.018860266636067387,0.2524215393793733,-0.2524215393793733,0.034088888880823696,-0.034088888880823696
0.375,0.0,0.0,0.019338994293649506,0.2553214173771306,-0.2553214173771306,0.034088888880823696,-0.034088888880823696
0.38,0.0,0.0,0.01982314317260411,0.25821273544245604,-0.25821273544245604,0.034088888880823696,-0.034088888880823696
0.385,0.0,0.0,0.02031269736222831,0.26109556779957455,-0.26109556779957455,0.034088888880823696,-0.034088888880823696
0.39,0.0,0.0,0.02080764108578636,0.2639699858976261,-0.2639699858976261,0.034088888880823696,-0.034088888880823696
0.395,0.0,0.0,0.021307958695558,0.26683605854487397,-0.26683605854487397,0.034088888880823696,-0.034088888880823696
0.4,0.0,0.0,0.02181363466812626,0.26969385203640683,-0.26969385203640683,0.034088888880823696,-0.034088888880823696
0.405,0.0,0.0,0.022324653599893066,0.2725434302756296,-0.2725434302756296,0.034088888880823696,-0.034088888880823696
0.41000000000000003,0.0,0.0,0.022841000202811493,0.27538485488982734,-0.27538485488982734,0.034088888880823696,-0.034088888880823696
0.41500000000000004,0.0,0.0,0.023362659300324135,0.2782181853400761,-0.2782181853400761,0.034088888880823696,-0.034088888880823696
0.42,0.0,0.0,0.023889615823497443,0.2810434790257642,-0.2810434790257642,0.034088888880823696,-0.034088888880823696
0.425,0.0,0.0,0.0244218548073424,0.28386079138397813,-0.28386079138397813,0.034088888880823696,-0.034088888880823696
0.43,0.0,0.0,0.02495936138731239,0.2866701759839948,-0.2866701759839948,0.034088888880823696,-0.034088888880823696
0.435,0.0,0.0,0.02550212079596948,0.28947168461711525,-0.28947168461711525,0.034088888880823696,-0.034088888880823696
0.44,0.0,0.0,0.02605011835981085,0.29226536738206216,-0.29226536738206216,0.034088888880823696,-0.034088888880823696
0.445,0.0,0.0,0.02660333949624739,0.2950512727661554,-0.2950512727661554,0.034088888880823696,-0.034088888880823696
0.45,0.0,0.0,0.02716176971072702,0.2978294477224704,-0.2978294477224704,0.034088888880823696,-0.034088888880823696
0.455,0.0,0.0,0.027725394593995475,0.3005999377431753,-0.3005999377431753,0.034088888880823696,-0.034088888880823696
0.46,0.0,0.0,0.028294199819487786,0.3033627869292329,-0.3033627869292329,0.034088888880823696,-0.034088888880823696
0.465,0.0,0.0,0.028868171140843998,0.3061180380566469,-0.3061180380566469,0.034088888880823696,-0.034088888880823696
0.47000000000000003,0.0,0.0,0.029447294389542914,0.3088657326394216,-0.3088657326394216,0.034088888880823696,-0.034088888880823696
0.47500000000000003,0.0,0.0,0.030031555472648037,0.3116059109893982,-0.3116059109893982,0.034088888880823696,-0.034088888880823696
0.48,0.0,0.0,0.03062094037066014,0.3143386122731223,-0.3143386122731223,0.034088888880823696,-0.034088888880823696
0.485,0.0,0.0,0.031215435135471183,0.3170638745658891,-0.3170638745658891,0.034088888880823696,-0.034088888880823696
0.49,0.0,0.0,0.03181502588841451,0.31978173490310796,-0.31978173490310796,0.034088888880823696,-0.034088888880823696
0.495,0.0,0.0,0.03241969881840661,0.3224922293291195,-0.3224922293291195,0.034088888880823696,-0.034088888880823696
0.5,0.0,0.0,0.03302944018017585,0.3251953929435919,-0.3251953929435919,0.034088888880823696,-0.034088888880823696
0.505,0.0,0.0,0.03364423629257388,0.32789125994561835,-0.32789125994561835,0.034088888880823696,-0.034088888880823696
0.51,0.0,0.0,0.034264073536965686,0.3305798636756301,-0.3305798636756301,0.034088888880823696,-0.034088888880823696
0.515,0.0,0.0,0.03488893835569425,0.33326123665523477,-0.33326123665523477,0.034088888880823696,-0.034088888880823696
0.52,0.0,0.0,0.035518817250616286,0.33593541062508436,-0.33593541062508436,0.034088888880823696,-0.034088888880823696
0.525,0.0,0.0,0.03615369678170542,0.3386024165808711,-0.3386024165808711,0.034088888880823696,-0.034088888880823696
